country_code,year,week,rate_14_day,pps
CY,2023,22,155.52030772461742,95
CY,2023,23,112.52286656976584,95
CY,2023,24,89.53194687771152,95
CY,2023,25,79.47341951243776,95
CY,2023,26,65.65676104365511,95
CY,2023,27,77.15222088968227,95
CY,2023,28,112.52286656976584,95
CY,2023,29,147.56191244659863,95
CY,2023,30,184.3694906074356,95
CY,2023,31,222.3929347135254,95
CY,2023,34,239.1939914115651,95
CY,2023,35,260.747978622866,95
CY,2023,36,252.12638373834565,95
CY,2023,37,274.56463709164865,95
CY,2023,38,321.4307426177594,95
CY,2023,39,343.75846270331215,95
CY,2023,40,318.2252778530018,95
CY,2023,41,278.54383473065803,95
DK,2020,2,0.3745688202103714,133
DK,2020,3,0.3405171092821559,133
DK,2020,4,0.3915946756744792,133
DK,2020,5,0.4767239529950182,133
DK,2020,6,0.4256463866026948,133
DK,2020,7,0.4426722420668026,133
DK,2020,8,0.4256463866026948,133
DK,2020,9,0.5448273748514494,133
DK,2020,10,1.736637257338995,133
DK,2020,11,15.544606038730416,133
DK,2020,12,23.58080981778929,133
DK,2020,13,28.79072158980628,133
DK,2020,14,56.40665915258912,133
DK,2020,15,65.14092300567643,133
DK,2020,16,48.183170963425056,133
DK,2020,17,42.20709569552322,133
DK,2020,18,39.00623486827096,133
DK,2020,19,28.313997636811266,133
DK,2020,20,19.06895811980073,133
DK,2020,21,14.386847867171086,133
DK,2020,22,11.986202246731889,133
DK,2020,23,9.517453204436256,133
DK,2020,24,9.040729251441238,133
DK,2020,25,10.385771833105755,133
DK,2020,26,9.023703395977131,133
DK,2020,27,5.601506447691464,133
DK,2020,28,5.158834205624662,133
DK,2020,29,7.542453970599753,133
DK,2020,30,8.853444841336053,133
DK,2020,31,12.650210609832092,133
DK,2020,32,23.665939095109835,133
DK,2020,33,30.680591546322244,133
DK,2020,34,26.270894981118325,133
DK,2020,35,20.941802220852587,133
DK,2020,36,32.3320995263407,133
DK,2020,37,60.37368347572624,133
DK,2020,38,92.79091227938748,133
DK,2020,39,116.59305821821016,133
DK,2020,40,110.07215557545688,133
DK,2020,41,94.135954861052,133
DK,2020,42,100.63983164834116,133
DK,2020,43,154.4245090594577,133
DK,2020,44,228.6912905938959,133
DK,2020,45,255.3878319616169,133
DK,2020,46,254.8600304422296,133
DK,2020,47,272.7031269686145,133
DK,2020,48,294.13867899792626,133
DK,2020,49,368.5416673760773,133
DK,2020,50,273.9800661284226,133
DK,2020,51,316.9533253198307,133
DK,2020,52,551.7739238808053,133
DK,2020,53,454.7776253017833,133
DK,2021,1,358.223998964828,135
DK,2021,2,315.59125688270206,135
DK,2021,3,214.1341841720837,135
DK,2021,4,147.49498588556582,135
DK,2021,5,108.69306128286416,135
DK,2021,6,100.53767651555653,135
DK,2021,7,108.5909061500795,135
DK,2021,8,128.6643897422626,135
DK,2021,9,139.49283381743516,135
DK,2021,10,151.73442389612867,135
DK,2021,11,167.78980559878232,135
DK,2021,12,175.57062154587956,135
DK,2021,13,162.47773869398068,135
DK,2021,14,118.95965212772116,135
DK,2021,15,129.9753806129989,135
DK,2021,16,168.8283827820929,135
DK,2021,17,138.0286102475219,135
DK,2021,18,166.002090775051,135
DK,2021,19,233.91822822137695,135
DK,2021,20,240.49020843052256,135
DK,2021,21,231.551634311866,135
DK,2021,22,210.7800906456545,135
DK,2021,23,144.53248703481106,135
DK,2021,24,76.30988419013113,135
DK,2021,25,50.78812684943355,135
DK,2021,26,68.18855113375172,135
DK,2021,27,124.32279659891512,135
DK,2021,28,194.8438899312496,135
DK,2021,29,206.3874199359147,135
DK,2021,30,196.7337598877656,135
DK,2021,31,214.79819253518397,135
DK,2021,32,225.235041934682,135
DK,2021,33,213.57233094176817,135
DK,2021,34,186.72255687487015,135
DK,2021,35,140.10576461414303,135
DK,2021,36,104.8111662370476,135
DK,2021,37,92.12690391628728,135
DK,2021,38,80.49824463430166,135
DK,2021,39,94.90211835693684,135
DK,2021,40,121.2411167599116,135
DK,2021,41,155.24175012173487,135
DK,2021,42,233.3563749910614,135
DK,2021,43,350.0515883420562,135
DK,2021,44,474.78300547211,135
DK,2021,45,659.0538391601486,135
DK,2021,46,865.3050522523504,135
DK,2021,47,902.4895205859618,135
DK,2021,48,1004.2019811285418,135
DK,2021,49,1286.1331217587028,135
DK,2021,50,1975.612164633212,135
DK,2021,51,2571.9597781190514,135
DK,2021,52,3362.436195606648,135
DK,2022,1,4247.865809017574,136
DK,2022,2,5135.2874475178005,136
DK,2022,3,7520.252255074556,136
DK,2022,4,9368.783434523668,136
DK,2022,5,7793.44913185163,136
DK,2022,6,8065.266914336111,136
DK,2022,7,8913.869602378172,136
DK,2022,8,6289.623422128845,136
